,goal
4,50000.0
5,1000.0
10,12500.0
16,250.0
18,20000.0
21,175.0
22,10000.0
24,17757.0
25,100.0
27,1000.0
28,2000.0
30,12000.0
32,4000.0
33,10000.0
35,15000.0
36,15000.0
37,10000.0
39,40000.0
40,8000.0
41,3000.0
43,60000.0
45,4000.0
46,11000.0
49,9500.0
51,25000.0
55,15000.0
58,15000.0
63,4000.0
68,7500.0
73,4000.0
74,500.0
75,500.0
76,4000.0
82,2000.0
84,10000.0
85,1500.0
86,3000.0
87,2000.0
90,500.0
91,200.0
92,1000.0
95,20000.0
97,5400.0
98,1750.0
99,1000.0
100,19500.0
109,2000.0
112,200.0
116,800.0
117,5000.0
120,1400.0
124,650.0
126,750.0
127,1500.0
129,2500.0
136,7500.0
137,250000.0
141,1000.0
144,36000.0
153,777.0
154,7500.0
156,80000.0
157,2000.0
159,5000.0
163,4000.0
165,5500.0
166,5000.0
167,40000.0
169,19650.0
170,800.0
171,275.0
173,15000.0
174,55000.0
176,2500.0
177,35000.0
179,50000.0
180,3000.0
184,4450.0
185,4000.0
186,15000.0
187,3286.0
190,9000.0
191,1500.0
193,150.0
196,3000.0
199,750.0
200,2000.0
201,1500.0
202,25000.0
205,1200.0
206,150.0
212,1500.0
214,5150.0
215,5000.0
216,20000.0
217,400.0
219,5500.0
228,350.0
229,5500.0
232,1500.0
233,10000.0
235,10000.0
236,2000.0
242,3000.0
245,125.0
246,3500.0
248,1000.0
251,25000.0
252,10000.0
253,2500.0
255,2200.0
256,550.0
259,250.0
260,2500.0
263,370.0
265,4500.0
268,7000.0
273,7500.0
274,1971.0
276,9900.0
277,250.0
279,10000.0
280,1750.0
285,25000.0
288,250.0
289,4800.0
293,6000.0
294,7500.0
298,15000.0
304,999.0
305,15000.0
308,7000.0
310,2000.0
311,50000.0
317,7000.0
319,1.0
324,18000.0
326,800.0
330,12500.0
331,2500.0
333,500.0
334,5500.0
336,10900.0
340,7500.0
341,1000.0
342,25000.0
344,7500.0
346,750.0
353,6000.0
354,10000.0
357,7500.0
358,800.0
361,18000.0
365,550.0
369,5500.0
371,5500.0
373,10000.0
375,20000.0
379,4000.0
383,15000.0
385,3000.0
389,2500.0
390,20.0
392,8000.0
394,2000.0
397,500.0
404,10000.0
409,3500.0
411,2500.0
413,10200.0
414,16000.0
415,2500.0
418,200.0
419,500.0
421,4000.0
425,2300.0
426,3250.0
427,22500.0
429,5000.0
430,25000.0
436,2500.0
439,3000.0
441,2300.0
443,5500.0
444,10000.0
446,500.0
447,120.0
449,3000.0
450,25000.0
451,5000.0
452,10000.0
454,13000.0
458,1800.0
459,3500.0
464,1.0
465,4000.0
467,900.0
469,1000.0
470,100000.0
471,57000.0
474,50000.0
475,14000.0
477,1000.0
479,2000.0
480,89999.0
483,5000.0
484,25000.0
486,10000.0
490,8500.0
491,10080.0
493,4399.0
494,10.0
499,500.0
500,1000.0
501,750.0
503,5000.0
504,20000.0
510,2500.0
513,3000.0
514,8000.0
515,2400.0
520,2500.0
522,20000.0
523,100000.0
525,3000.0
527,5000.0
528,750.0
532,500.0
537,1000.0
540,55000.0
542,8000.0
544,1200.0
548,1400.0
552,10000.0
558,4444.0
563,1000.0
564,7500.0
566,4500.0
567,30000.0
570,15000.0
571,2750.0
572,4500.0
574,50.0
576,3500.0
577,5000.0
591,7770.0
596,5000.0
602,10000.0
603,4000.0
604,3000.0
605,20000.0
606,1000.0
608,850.0
610,10000.0
613,520.0
614,10000.0
615,20000.0
622,2000.0
631,5000.0
634,13000.0
635,10000.0
636,40000.0
641,9000.0
642,1200.0
644,250.0
646,40000.0
648,1800.0
655,1000.0
656,27000.0
657,15000.0
658,2000.0
667,3000.0
668,20000.0
669,10000.0
670,5000.0
673,1000.0
674,600.0
675,700.0
677,10000.0
678,60.0
680,450.0
685,2000.0
687,1400.0
689,4040.0
693,550.0
699,3500.0
700,2200.0
702,2500.0
704,2000.0
706,9000.0
709,1100.0
722,2000.0
728,6000.0
729,2000.0
736,43000.0
737,2000.0
739,10000.0
740,5000.0
742,250.0
744,5000.0
749,250.0
756,4500.0
760,1500.0
761,700.0
762,2500.0
764,25.0
766,30000.0
775,6500.0
776,5000.0
777,7500.0
778,5000.0
779,500.0
785,1000.0
786,1300.0
787,1750.0
789,6000.0
792,1500.0
794,10000.0
795,15000.0
797,1500.0
799,7000.0
800,19500.0
802,100000.0
803,1450.0
805,20000.0
806,30000.0
808,500.0
811,2500.0
815,10000.0
818,3000.0
819,2000.0
820,1000.0
824,1000.0
826,999.0
827,600000.0
828,4000.0
832,15000.0
834,20000.0
841,500.0
845,10000.0
846,20000.0
849,20000.0
851,20000.0
853,500.0
854,1.0
860,25000.0
862,1600.0
866,10000.0
869,12000.0
872,6000.0
873,6000.0
878,100000.0
880,14000.0
882,1500.0
884,40000.0
886,2223.0
887,28000.0
889,850.0
890,3600.0
893,2000.0
897,14000.0
898,2000.0
901,3000.0
904,5000.0
905,5800.0
906,200.0
909,1000.0
910,2100.0
912,10000.0
914,1250.0
916,2000.0
917,5000.0
921,25000.0
925,2000.0
927,2700.0
933,30000.0
937,72083.0
940,2000.0
942,10000.0
945,1000.0
946,3000.0
953,7500.0
954,800.0
956,600.0
964,4000.0
967,10000.0
968,3000.0
969,1200.0
970,10.0
974,2500.0
978,5000.0
980,3500.0
984,3000.0
994,25000.0
995,5000.0
